date	experiment	round	assay	plate	condition	control	strain	row	col	trait	phenotype	.std.resid.x	.std.resid.y
20210409	ABZD	2	d	2	abz30	DMSO	N2	A	1	n	-7.6070657488984885	-0.7635686469396225	-0.7257057280763942
20210409	ABZD	2	d	2	abz30	DMSO	ECA2817	A	10	n	-3.0649732487271777	-1.0365038228669825	-0.29298672739868875
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	A	2	n	-7.775688649014981	-0.44514427502437603	-0.7413985204788571
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	A	3	n	2.6860470179029434	-0.6725902549638403	0.2566217674985718
20210409	ABZD	2	d	2	abz30	DMSO	ECA2798	A	4	n	-21.68308861620015	0.373661252757689	-2.0797218945091607
20210409	ABZD	2	d	2	abz30	DMSO	ECA2799	A	5	n	-4.856045482268369	-0.5361226670001625	-0.46315032559104163
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	A	6	n	7.276606517457534	0.7830640166487222	0.6942469843856441
20210409	ABZD	2	d	2	abz30	DMSO	ECA2804	A	7	n	-8.450433148912195	-0.7635686469396225	-0.8060832185700458
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	A	8	n	1.7222708177247776	-0.21769829508491453	0.16425718829712332
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	A	9	n	30.895227683793	2.7845886401159956	2.9638030688149084
20210409	ABZD	2	d	2	abz30	DMSO	N2	B	1	n	9.392934251101511	0.009747684854548366	0.8960756242256017
20210409	ABZD	2	d	2	abz30	DMSO	ECA2817	B	10	n	4.935026751272822	-0.6725902549638403	0.4717487625971483
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	B	2	n	-0.775688649014981	-0.12671990310912937	-0.07396057670143502
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	B	3	n	-0.3139529820970566	-0.8090578429275181	-0.029994698022856685
20210409	ABZD	2	d	2	abz30	DMSO	ECA2798	B	4	n	-11.683088616200148	0.8285532126366147	-1.1205772212934955
20210409	ABZD	2	d	2	abz30	DMSO	ECA2799	B	5	n	-0.8560454822683692	-0.35416588304859226	-0.08164621712894897
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	B	6	n	-4.723393482542466	0.23719366479401127	-0.4506498562832387
20210409	ABZD	2	d	2	abz30	DMSO	ECA2804	B	7	n	-9.450433148912195	-0.8090578429275181	-0.9014727926149941
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	B	8	n	5.722270817724778	-0.035741511133344214	0.545746990264776
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	B	9	n	-15.104772316207	0.6920856246729371	-1.449012481885963
20210409	ABZD	2	d	2	abz30	DMSO	N2	C	1	n	-8.607065748898489	-0.8090578429275181	-0.8211046311529918
20210409	ABZD	2	d	2	abz30	DMSO	ECA2817	C	10	n	6.935026751272822	-0.5816118629880551	0.6629326350961076
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	C	2	n	-14.775688649014981	-0.7635686469396225	-1.4088364642562792
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	C	3	n	12.686047017902943	-0.21769829508491453	1.2120099859033333
20210409	ABZD	2	d	2	abz30	DMSO	ECA2798	C	4	n	1.3169113837998516	1.4199127604792183	0.1263108538868697
20210409	ABZD	2	d	2	abz30	DMSO	ECA2799	C	5	n	-5.856045482268369	-0.5816118629880551	-0.5585263527065648
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	C	6	n	-1.7233934825424662	0.373661252757689	-0.16442564611601798
20210409	ABZD	2	d	2	abz30	DMSO	ECA2804	C	7	n	-4.450433148912195	-0.5816118629880551	-0.4245249223902524
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	C	8	n	13.722270817724777	0.32817205676979644	1.3087265942000816
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	C	9	n	-22.104772316207	0.373661252757689	-2.120527891775226
20210409	ABZD	2	d	2	abz30	DMSO	N2	D	1	n	-12.607065748898489	-0.9910146268790885	-1.202700243459346
20210409	ABZD	2	d	2	abz30	DMSO	ECA2817	D	10	n	4.935026751272822	-0.6725902549638403	0.4717487625971483
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	D	2	n	-15.775688649014981	-0.8090578429275181	-1.5041847419387682
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	D	3	n	6.686047017902943	-0.49063347101227	0.6387770548604763
20210409	ABZD	2	d	2	abz30	DMSO	ECA2798	D	4	n	-8.683088616200148	0.9650208006002925	-0.8328338193287957
20210409	ABZD	2	d	2	abz30	DMSO	ECA2799	D	5	n	5.143954517731631	-0.0812307071212368	0.49060994556418996
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	D	6	n	14.276606517457534	1.1014883885639701	1.362103474775826
20210409	ABZD	2	d	2	abz30	DMSO	ECA2804	D	7	n	6.549566851087805	-0.0812307071212368	0.6247603921041796
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	D	8	n	-5.277729182275222	-0.5361226670001625	-0.5033499651462691
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	D	9	n	1.8952276837929993	1.465401956467111	0.18181065641653288
20210409	ABZD	2	d	2	abz30	DMSO	N2	E	1	n	-10.607065748898489	-0.9000362349033033	-1.011902437306169
20210409	ABZD	2	d	2	abz30	DMSO	ECA2817	E	10	n	4.935026751272822	-0.6725902549638403	0.4717487625971483
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	E	2	n	-13.775688649014981	-0.7180794509517329	-1.3134881865737904
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	E	3	n	-6.313952982097057	-1.0819930188548736	-0.6032276290657136
20210409	ABZD	2	d	2	abz30	DMSO	ECA2798	E	4	n	-25.68308861620015	0.1917044688061187	-2.4633797637954267
20210409	ABZD	2	d	2	abz30	DMSO	ECA2799	E	5	n	-3.856045482268369	-0.49063347101227	-0.36777429847551846
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	E	6	n	21.276606517457534	1.4199127604792183	2.029959965166008
20210409	ABZD	2	d	2	abz30	DMSO	ECA2804	E	7	n	-4.450433148912195	-0.5816118629880551	-0.4245249223902524
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	E	8	n	11.722270817724777	0.23719366479401127	1.1179816932162552
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	E	9	n	-20.104772316207	0.4646396447334742	-1.9286663460925797
20210409	ABZD	2	d	2	abz30	DMSO	N2	F	1	n	-10.607065748898489	-0.9000362349033033	-1.011902437306169
20210409	ABZD	2	d	2	abz30	DMSO	ECA2817	F	10	n	-3.0649732487271777	-1.0365038228669825	-0.29298672739868875
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	F	2	n	-3.775688649014981	-0.2631874910728071	-0.36000540974890166
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	F	3	n	18.686047017902943	0.055236880842440945	1.7852429169461903
20210409	ABZD	2	d	2	abz30	DMSO	ECA2798	F	4	n	2.3169113837998516	1.465401956467111	0.22222532120843622
20210409	ABZD	2	d	2	abz30	DMSO	ECA2799	F	5	n	13.14395451773163	0.28268286078190386	1.253618162488375
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	F	6	n	27.276606517457534	1.6928479364065738	2.6024083855004494
20210409	ABZD	2	d	2	abz30	DMSO	ECA2804	F	7	n	-0.4504331489121949	-0.39965507903648484	-0.04296662621045895
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	F	8	n	1.7222708177247776	-0.21769829508491453	0.16425718829712332
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	F	9	n	6.895227683792999	1.6928479364065738	0.6614645206231494
20210409	ABZD	2	d	2	abz30	DMSO	N2	G	1	n	4.3929342511015115	-0.21769829508491453	0.4190811088426592
20210409	ABZD	2	d	2	abz30	DMSO	ECA2817	G	10	n	11.935026751272822	-0.35416588304859226	1.1408923163435059
