term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,condition
strain,ECA2795,ECA2798,0,-30.425117146193397,-93.53421436058915,32.683980068202345,0.873,ns,Albendazole
strain,ECA2795,ECA2799,0,20.77402478867069,-41.57924758886455,83.12729716620592,0.987,ns,Albendazole
strain,ECA2795,ECA2801,0,3.07183800157064,-60.037259212825106,66.18093521596639,1,ns,Albendazole
strain,ECA2795,ECA2804,0,26.64131457472089,-36.46778263967485,89.75041178911664,0.94,ns,Albendazole
strain,ECA2795,ECA2805,0,31.047878786692376,-31.305393590842858,93.40115116422761,0.85,ns,Albendazole
strain,ECA2795,ECA2816,0,-8.347372676241903,-70.70064505377714,54.00589970129333,1,ns,Albendazole
strain,ECA2795,ECA2817,0,-20.52420720177928,-82.87747957931451,41.82906517575596,0.988,ns,Albendazole
strain,ECA2795,ECA882,0,-1.9456070366990126,-65.05470425109476,61.16349017769673,1,ns,Albendazole
strain,ECA2795,N2,0,-159.78990701793498,-222.89900423233073,-96.68080980353923,2.74e-12,****,Albendazole
strain,ECA2798,ECA2799,0,51.19914193486409,-11.154130442671146,113.55241431239932,0.212,ns,Albendazole
strain,ECA2798,ECA2801,0,33.49695514776404,-29.612142066631705,96.60605236215979,0.795,ns,Albendazole
strain,ECA2798,ECA2804,0,57.06643172091429,-6.042665493481458,120.17552893531004,0.114,ns,Albendazole
strain,ECA2798,ECA2805,0,61.47299593288577,-0.8802764446494606,123.826268310421,0.0569,ns,Albendazole
strain,ECA2798,ECA2816,0,22.077744469951494,-40.27552790758374,84.43101684748673,0.981,ns,Albendazole
strain,ECA2798,ECA2817,0,9.900909944414119,-52.45236243312112,72.25418232194936,1,ns,Albendazole
strain,ECA2798,ECA882,0,28.479510109494385,-34.62958710490136,91.58860732389013,0.911,ns,Albendazole
strain,ECA2798,N2,0,-129.3647898717416,-192.47388708613735,-66.25569265734586,2.12e-8,****,Albendazole
strain,ECA2799,ECA2801,0,-17.70218678710005,-80.05545916463528,44.65108559043519,0.996,ns,Albendazole
strain,ECA2799,ECA2804,0,5.8672897860502005,-56.48598259148503,68.22056216358544,1,ns,Albendazole
strain,ECA2799,ECA2805,0,10.273853998021686,-51.31431857722318,71.86202657326655,1,ns,Albendazole
strain,ECA2799,ECA2816,0,-29.121397464912594,-90.70957004015746,32.46677511033228,0.885,ns,Albendazole
strain,ECA2799,ECA2817,0,-41.29823199044997,-102.88640456569485,20.2899405847949,0.497,ns,Albendazole
strain,ECA2799,ECA882,0,-22.719631825369703,-85.07290420290494,39.63364055216553,0.977,ns,Albendazole
strain,ECA2799,N2,0,-180.5639318066057,-242.91720418414093,-118.21065942907046,1.14e-13,****,Albendazole
strain,ECA2801,ECA2804,0,23.56947657315025,-39.53962064124549,86.678573787546,0.972,ns,Albendazole
strain,ECA2801,ECA2805,0,27.976040785121736,-34.377231592413494,90.32931316265697,0.914,ns,Albendazole
strain,ECA2801,ECA2816,0,-11.419210677812544,-73.77248305534778,50.93406169972269,1,ns,Albendazole
strain,ECA2801,ECA2817,0,-23.59604520334992,-85.94931758088515,38.75722717418532,0.97,ns,Albendazole
strain,ECA2801,ECA882,0,-5.017445038269653,-68.1265422526654,58.09165217612609,1,ns,Albendazole
strain,ECA2801,N2,0,-162.86174501950563,-225.97084223390138,-99.75264780510989,1.12e-12,****,Albendazole
strain,ECA2804,ECA2805,0,4.406564211971485,-57.94670816556375,66.75983658950672,1,ns,Albendazole
strain,ECA2804,ECA2816,0,-34.9886872509628,-97.34195962849803,27.364585126572436,0.737,ns,Albendazole
strain,ECA2804,ECA2817,0,-47.16552177650017,-109.5187941540354,15.187750601035063,0.319,ns,Albendazole
strain,ECA2804,ECA882,0,-28.586921611419903,-91.69601882581566,34.52217560297584,0.91,ns,Albendazole
strain,ECA2804,N2,0,-186.43122159265587,-249.54031880705162,-123.32212437826013,1.11e-13,****,Albendazole
strain,ECA2805,ECA2816,0,-39.39525146293428,-100.98342403817915,22.192921112310586,0.567,ns,Albendazole
strain,ECA2805,ECA2817,0,-51.572085988471656,-113.16025856371652,10.016086586773213,0.189,ns,Albendazole
strain,ECA2805,ECA882,0,-32.99348582339139,-95.34675820092662,29.359786554143845,0.798,ns,Albendazole
strain,ECA2805,N2,0,-190.83778580462737,-253.1910581821626,-128.48451342709214,1.11e-13,****,Albendazole
strain,ECA2816,ECA2817,0,-12.176834525537375,-73.76500710078224,49.411338049707496,1,ns,Albendazole
strain,ECA2816,ECA882,0,6.401765639542891,-55.95150673799235,68.75503801707812,1,ns,Albendazole
strain,ECA2816,N2,0,-151.4425343416931,-213.79580671922832,-89.08926196415786,1.96e-11,****,Albendazole
strain,ECA2817,ECA882,0,18.578600165080267,-43.774672212454966,80.93187254261551,0.994,ns,Albendazole
strain,ECA2817,N2,0,-139.26569981615572,-201.61897219369095,-76.91242743862048,7.78e-10,****,Albendazole
strain,ECA882,N2,0,-157.84429998123596,-220.9533971956317,-94.73520276684022,4.91e-12,****,Albendazole
strain,ECA2795,ECA2798,0,-3.6483249087076848,-60.245253799801574,52.9486039823862,1,ns,Fenbendazole
strain,ECA2795,ECA2799,0,48.97647854704981,-6.187384097877093,104.14034119197672,0.13,ns,Fenbendazole
strain,ECA2795,ECA2801,0,-18.46265992490474,-74.31181421980942,37.38649436999994,0.988,ns,Fenbendazole
strain,ECA2795,ECA2804,0,42.98620392518046,-12.862950369724217,98.83535822008514,0.295,ns,Fenbendazole
strain,ECA2795,ECA2805,0,36.99033176336286,-18.85882253154182,92.83948605826754,0.515,ns,Fenbendazole
strain,ECA2795,ECA2816,0,0.5766257249588698,-55.272528569945806,56.42578001986355,1,ns,Fenbendazole
strain,ECA2795,ECA2817,0,-30.510556042797564,-86.35971033770224,25.338598252107115,0.766,ns,Fenbendazole
strain,ECA2795,ECA882,0,6.48467805224147,-49.36447624266321,62.33383234714615,1,ns,Fenbendazole
